cafe_78017e90352a11ee94d947c402bba509,aac93,01061248621,687ffc41ad,,,서울특별시,강남구,역삼동,강남대로84길,역삼동빌딩,서울특별시 강남구 논현로76길 16 (역삼동),3.896921508849525,477,2342343,2023-08-07 22:58:21.000000,2023-08-07 22:58:21.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_78de4b4a352a11ee94d947c402bba509,7664b,01081429230,8190709a58,,,서울특별시,강남구,역삼동,강남대로94길,제이빌딩,서울특별시 강남구 강남대로94길 19 (역삼동),0.467928671713852,950,2342343,2023-08-07 22:58:22.000000,2023-08-07 22:58:22.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_79295ebe352a11ee94d947c402bba509,ccc7f,01050311032,071919c03f,,,서울특별시,강남구,역삼동,논현로102길,역삼동골든베리힐,"서울특별시 강남구 논현로102길 4 (역삼동, 역삼동골든베리힐)",4.2352435345345,600,2342343,2023-08-07 22:58:23.000000,2023-08-07 22:58:23.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_79a2ad8c352a11ee94d947c402bba509,b879b,01034222256,c184d4cdd1,,,서울특별시,강남구,역삼동,언주로103길,역삼동 661-26 근생및주택,"서울특별시 강남구 언주로103길 13-1 (역삼동, 역삼동 661-26 근생및주택)",4.153410595984581,848,2342343,2023-08-07 22:58:24.000000,2023-08-07 22:58:24.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_7be16cfa352a11ee94d947c402bba509,d6131,01021348114,8b67102b9c,,,서울특별시,강남구,역삼동,언주로90길,역삼동빌딩,서울특별시 강남구 언주로90길 12,3.248304611303196,997,2342343,2023-08-07 22:58:27.000000,2023-08-07 22:58:27.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_7c82f91c352a11ee94d947c402bba509,bc408,01020909234,c7d7906973,,,서울특별시,강남구,역삼동,테헤란로32길,역삼동 728-47,"서울특별시 강남구 테헤란로32길 49 (역삼동, 역삼동 728-47)",0.9056018580734747,934,2342343,2023-08-07 22:58:28.000000,2023-08-07 22:58:28.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_7ce62cbc352a11ee94d947c402bba509,6bcdd,01084598398,c99fd1d450,,,서울특별시,강남구,역삼동,언주로,역삼자이,"서울특별시 강남구 언주로 420 (역삼동, 역삼자이아파트)",3.9361926949920067,952,2342343,2023-08-07 22:58:29.000000,2023-08-07 22:58:29.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_7d415c86352a11ee94d947c402bba509,1dfdc,01013794930,bf00aa8d6b,,,서울특별시,강남구,논현동,테헤란로,test,서울특별시 강남구 테헤란로 110 (역삼동),3.895950884461357,740,2342343,2023-08-07 22:58:30.000000,2023-08-07 22:58:30.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_7d9f4242352a11ee94d947c402bba509,dcce5,01061109549,5838498b6d,,,서울특별시,강남구,논현동,강남대로,비제바노,서울특별시 강남구 강남대로 464 (역삼동),4.220701143351105,395,2342343,2023-08-07 22:58:30.000000,2023-08-07 22:58:30.000000,user_5842af588de04ee1a93e1011cfaf14a8
cafe_7df29398352a11ee94d947c402bba509,74e1a,01003348357,16fa9932d0,,,서울특별시,강남구,논현동,강남대로,충림빌딩,서울특별시 강남구 강남대로 468 (역삼동),4.422123934535425,187,2342343,2023-08-07 22:58:31.000000,2023-08-07 22:58:31.000000,user_5842af588de04ee1a93e1011cfaf14a8
